City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
106,Mitsamiouli,KM,-11.38,43.28,78.33,78,23,5.32,few clouds,0.0,0.0
107,Evensk,RU,61.95,159.23,48.4,81,100,4.14,overcast clouds,0.0,0.0
108,East London,ZA,-33.02,27.91,62.92,51,14,22.46,few clouds,0.0,0.0
109,Sinnamary,GF,5.38,-52.95,82.56,78,44,5.17,moderate rain,1.12,0.0
110,Cilegon,ID,-6.02,106.05,82.4,74,20,5.82,haze,0.0,0.0
111,Bongandanga,CD,1.5,21.05,73.78,88,87,2.46,light rain,0.74,0.0
112,Katete,UG,-0.78,29.75,65.12,79,56,4.32,broken clouds,0.0,0.0
113,Tasiilaq,GL,65.61,-37.64,44.6,81,100,10.29,light rain,0.0,0.0
114,Shahr-E Babak,IR,30.12,55.12,81.36,14,1,12.8,clear sky,0.0,0.0
115,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,83.12,86,84,2.35,moderate rain,1.35,0.0
116,Great Yarmouth,GB,52.61,1.73,66.99,59,98,17.0,light rain,0.25,0.0
117,Belmonte,BR,-15.86,-38.88,78.8,74,40,10.29,scattered clouds,0.0,0.0
118,Tongzi,CN,28.78,105.09,74.55,93,92,1.36,overcast clouds,0.0,0.0
119,Eugene,US,44.05,-123.09,60.01,87,88,4.38,moderate rain,1.68,0.0
120,Thompson,CA,55.74,-97.86,59.0,87,90,8.05,overcast clouds,0.0,0.0
121,Ponta Do Sol,PT,32.67,-17.1,73.0,69,9,5.99,clear sky,0.0,0.0
122,Yellandu,IN,17.6,80.33,82.11,79,100,6.78,moderate rain,3.46,0.0
123,Szihalom,HU,47.77,20.48,78.01,85,18,5.68,light rain,0.11,0.0
124,Myitkyina,MM,25.38,97.4,76.17,95,95,1.48,light rain,0.37,0.0
125,Yar-Sale,RU,66.83,70.83,50.07,72,86,2.48,overcast clouds,0.0,0.0
126,Nome,US,64.5,-165.41,44.6,93,90,3.36,moderate rain,1.27,0.0
127,Ponta Delgada,PT,37.73,-25.67,73.4,78,40,10.29,scattered clouds,0.0,0.0
128,Port Hedland,AU,-20.32,118.57,62.6,63,6,5.82,clear sky,0.0,0.0
129,Kavieng,PG,-2.57,150.8,82.35,80,51,13.15,light rain,0.78,0.0
130,Podsineye,RU,53.67,91.54,62.6,88,40,4.47,scattered clouds,0.0,0.0
131,Provideniya,RU,64.38,-173.3,39.7,84,99,15.73,overcast clouds,0.0,0.0
132,Limanowa,PL,49.71,20.42,80.01,72,28,3.29,scattered clouds,0.0,0.0
133,Kaeo,NZ,-35.1,173.78,51.01,3,2,3.0,clear sky,0.0,0.0
134,Esperance,AU,-33.87,121.9,57.2,87,40,18.34,scattered clouds,0.0,0.0
135,Kutum,SD,14.2,24.67,83.16,25,97,4.14,overcast clouds,0.0,0.0
136,Vardo,NO,70.37,31.11,42.8,87,75,19.46,broken clouds,0.0,0.0
137,Tommot,RU,58.96,126.29,57.74,68,3,1.21,clear sky,0.0,0.0
138,Ostrovnoy,RU,68.05,39.51,43.52,79,94,5.66,overcast clouds,0.0,0.0
139,Conakry,GN,9.54,-13.68,82.17,77,87,10.13,overcast clouds,0.0,0.0
