City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Dikson,RU,2020-06-24 22:14:38,73.51,80.55,39.85,81,99,12.21
131,Kamakhyanagar,IN,2020-06-24 22:17:13,20.93,85.55,81.05,85,62,4.99
132,Nikolskoye,RU,2020-06-24 22:17:13,59.7,30.79,62.6,82,49,4.47
133,Inta,RU,2020-06-24 22:17:13,66.03,60.17,43.16,86,99,6.58
134,Dakar,SN,2020-06-24 22:17:13,14.69,-17.44,80.6,88,75,6.93
135,Port Elizabeth,ZA,2020-06-24 22:14:14,-33.92,25.57,53.6,50,0,5.82
136,Chuy,UY,2020-06-24 22:17:13,-33.7,-53.46,62.2,98,99,2.19
137,Uspenka,UA,2020-06-24 22:17:13,48.39,39.16,61.12,83,0,11.41
138,Dong Xoai,VN,2020-06-24 22:17:13,11.53,106.92,75.99,96,71,0.81
139,Ancud,CL,2020-06-24 22:17:13,-41.87,-73.82,44.6,81,75,5.82
140,Sharjah,AE,2020-06-24 22:14:39,25.36,55.4,93.2,70,4,8.05
141,Shaoyang,CN,2020-06-24 22:17:14,27.23,111.45,73.74,97,100,0.89
142,Castro,BR,2020-06-24 22:17:14,-24.79,-50.01,57.25,87,18,4.65
143,Punta Arenas,CL,2020-06-24 22:14:08,-53.15,-70.92,39.2,80,75,18.34
144,Petropavlovsk-Kamchatskiy,RU,2020-06-24 22:13:47,53.05,158.65,62.6,67,9,6.71
145,Tiksi,RU,2020-06-24 22:13:52,71.69,128.87,65.14,45,16,2.8
146,Mamallapuram,IN,2020-06-24 22:17:14,12.63,80.17,82.4,74,40,8.05
147,Itarema,BR,2020-06-24 22:17:14,-2.92,-39.92,78.75,78,88,10.89
148,Kamenka,RU,2020-06-24 22:14:40,51.32,42.77,57.0,91,0,4.0
149,Melo,UY,2020-06-24 22:17:14,-32.37,-54.18,66.85,89,82,8.25
150,Price,US,2020-06-24 22:17:14,39.6,-110.81,91.4,13,1,9.17
151,Victoria,HK,2020-06-24 22:14:33,22.29,114.16,84.99,79,100,5.99
152,Bathurst,AU,2020-06-24 22:15:15,-33.42,149.58,44.01,90,93,6.78
153,Gogrial,SS,2020-06-24 22:17:14,8.53,28.1,78.44,67,60,2.8
154,Kafanchan,NG,2020-06-24 22:17:15,9.58,8.3,70.65,92,89,3.27
155,Alta Floresta,BR,2020-06-24 22:17:15,-9.88,-56.09,77.43,66,2,3.33
156,Poum,NC,2020-06-24 22:17:15,-20.23,164.02,71.74,64,6,11.9
157,Lebu,CL,2020-06-24 22:17:15,-37.62,-73.65,48.58,80,4,4.27
158,Barrow,US,2020-06-24 22:15:00,71.29,-156.79,35.6,74,40,6.93
159,Port Hardy,CA,2020-06-24 22:17:15,50.7,-127.42,59.0,77,75,17.22
160,Faya,SA,2020-06-24 22:17:15,18.39,42.45,71.6,46,52,5.3
161,Vila Velha,BR,2020-06-24 22:17:15,-20.33,-40.29,73.4,73,42,9.17
162,Palmer,US,2020-06-24 22:17:15,42.16,-72.33,87.01,30,40,12.75
163,Avarua,CK,2020-06-24 22:13:51,-21.21,-159.78,78.8,78,68,9.17
164,Port Lincoln,AU,2020-06-24 22:14:32,-34.73,135.87,55.27,78,6,11.07
165,Iwaki,JP,2020-06-24 22:17:16,37.05,140.88,64.0,93,100,3.56
166,Karratha,AU,2020-06-24 22:14:19,-20.74,116.85,66.09,62,0,6.11
167,Northam,GB,2020-06-24 22:14:31,51.03,-4.22,66.99,76,0,5.41
168,Dergachi,RU,2020-06-24 22:17:16,51.23,48.77,60.66,94,100,4.5
169,Labuhan,ID,2020-06-24 22:17:16,-6.88,112.21,75.38,86,82,6.96
170,Presidencia Roque Saenz Pena,AR,2020-06-24 22:17:16,-26.79,-60.44,73.24,68,100,12.91
